# GSV_1,GSV_2,GSV_3,nw,kw
0.809310,0.206830,0.055040,1.330000,0.039700
0.806920,0.207530,0.056280,1.330000,0.040000
0.804520,0.208240,0.057510,1.330000,0.040400
0.802120,0.208950,0.058740,1.330000,0.040600
0.799720,0.209660,0.059950,1.330000,0.040800
0.797320,0.210390,0.061150,1.330000,0.041200
0.794920,0.211110,0.062340,1.330000,0.041300
0.792520,0.211850,0.063520,1.330000,0.041500
0.790130,0.212580,0.064690,1.330000,0.042000
0.787740,0.213330,0.065850,1.330000,0.042000
0.785350,0.214070,0.067000,1.330000,0.042200
0.782970,0.214820,0.068130,1.330000,0.042500
0.780590,0.215580,0.069260,1.330000,0.042700
0.778220,0.216350,0.070370,1.330000,0.042800
0.775850,0.217120,0.071460,1.330000,0.043100
0.773480,0.217900,0.072550,1.330000,0.043600
0.771120,0.218690,0.073620,1.330000,0.043700
0.768760,0.219500,0.074680,1.330000,0.043800
0.766410,0.220310,0.075720,1.330000,0.044300
0.764050,0.221140,0.076750,1.330000,0.044500
0.761700,0.221990,0.077760,1.330000,0.044700
0.759360,0.222850,0.078760,1.330000,0.045100
0.757020,0.223720,0.079740,1.330000,0.045300
0.754680,0.224600,0.080710,1.330000,0.045500
0.752360,0.225490,0.081670,1.330000,0.046100
0.750050,0.226390,0.082610,1.330000,0.046600
0.747760,0.227300,0.083540,1.330000,0.046900
0.745470,0.228220,0.084460,1.330000,0.047100
0.743210,0.229150,0.085360,1.330000,0.047100
0.740960,0.230080,0.086250,1.330000,0.047500
0.738740,0.231020,0.087130,1.330000,0.048300
0.736530,0.231970,0.088000,1.330000,0.048700
0.734350,0.232920,0.088850,1.330000,0.048900
0.732180,0.233870,0.089690,1.330000,0.049600
0.730030,0.234840,0.090520,1.330000,0.050100
0.727890,0.235810,0.091330,1.330000,0.050500
0.725770,0.236780,0.092130,1.330000,0.051200
0.723660,0.237770,0.092920,1.330000,0.051500
0.721560,0.238760,0.093690,1.330000,0.052000
0.719480,0.239760,0.094450,1.330000,0.053000
0.717400,0.240770,0.095190,1.330000,0.053500
0.715340,0.241780,0.095920,1.330000,0.053900
0.713290,0.242810,0.096630,1.330000,0.054700
0.711240,0.243840,0.097330,1.330000,0.055300
0.709210,0.244880,0.098020,1.330000,0.055700
0.707180,0.245940,0.098690,1.330000,0.056000
0.705160,0.247000,0.099350,1.330000,0.056500
0.703150,0.248070,0.099990,1.330000,0.057500
0.701140,0.249150,0.100620,1.330000,0.057900
0.699150,0.250240,0.101230,1.330000,0.058300
0.697160,0.251340,0.101830,1.330000,0.059200
0.695170,0.252460,0.102410,1.330000,0.059800
0.693190,0.253570,0.102990,1.330000,0.060100
0.691230,0.254700,0.103550,1.330000,0.060400
0.689260,0.255830,0.104100,1.330000,0.060900
0.687310,0.256970,0.104650,1.330000,0.061900
